anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Jun/2004,2004,6,Junho,Jun,2004Jun
Jul/2004,2004,7,Julho,Jul,2004Jul
Ago/2004,2004,8,Agosto,Ago,2004Ago
Set/2004,2004,9,Setembro,Set,2004Set
Out/2004,2004,10,Outubro,Out,2004Out
Nov/2004,2004,11,Novembro,Nov,2004Nov
Dez/2004,2004,12,Dezembro,Dez,2004Dez
Jan/2005,2005,1,Janeiro,Jan,2005Jan
Fev/2005,2005,2,Fevereiro,Fev,2005Fev
Mar/2005,2005,3,Março,Mar,2005Mar
Abr/2005,2005,4,Abril,Abr,2005Abr
Mai/2005,2005,5,Maio,Mai,2005Mai
Jun/2005,2005,6,Junho,Jun,2005Jun
Jul/2005,2005,7,Julho,Jul,2005Jul
Ago/2005,2005,8,Agosto,Ago,2005Ago
Set/2005,2005,9,Setembro,Set,2005Set
Out/2005,2005,10,Outubro,Out,2005Out
Nov/2005,2005,11,Novembro,Nov,2005Nov
Dez/2005,2005,12,Dezembro,Dez,2005Dez
Jan/2006,2006,1,Janeiro,Jan,2006Jan
Fev/2006,2006,2,Fevereiro,Fev,2006Fev
Mar/2006,2006,3,Março,Mar,2006Mar
Abr/2006,2006,4,Abril,Abr,2006Abr
Mai/2006,2006,5,Maio,Mai,2006Mai
Jun/2006,2006,6,Junho,Jun,2006Jun
Jul/2006,2006,7,Julho,Jul,2006Jul
Ago/2006,2006,8,Agosto,Ago,2006Ago
Set/2006,2006,9,Setembro,Set,2006Set
Out/2006,2006,10,Outubro,Out,2006Out
Nov/2006,2006,11,Novembro,Nov,2006Nov
Dez/2006,2006,12,Dezembro,Dez,2006Dez
Jan/2007,2007,1,Janeiro,Jan,2007Jan
Fev/2007,2007,2,Fevereiro,Fev,2007Fev
Mar/2007,2007,3,Março,Mar,2007Mar
Abr/2007,2007,4,Abril,Abr,2007Abr
Mai/2007,2007,5,Maio,Mai,2007Mai
